cliente_id,nome,email,telefone,data_nascimento,genero,cidade,estado,renda_anual,profissao,data_cadastro
63,Clara Gomes,nicolesouza@example.org,+55 (084) 4658 4044,1981-10-22,Masculino,Florianópolis,SC,1706294.64,Promotor,2024-08-12
64,Rebeca Cassiano,enascimento@example.com,(071) 8867 5339,1994-10-22,Masculino,Brasília,DF,387129.93,Cirurgião,2024-04-18
65,Isabel Vasconcelos,uaparecida@example.net,(071) 6627-0289,1964-10-22,Masculino,Curitiba,PR,597991.66,Juiz,2024-01-28
66,Sr. Pedro Lucas Brito,ualbuquerque@example.org,81 2174 5961,1998-10-22,Feminino,Belo Horizonte,MG,297472.48,Promotor,2022-08-18
67,Dr. Liam Pires,cnogueira@example.net,+55 (084) 3431 6117,1998-10-22,Masculino,São José dos Campos,SP,135721.87,Piloto,2023-11-16
68,Kaique Alves,duartedaniel@example.com,11 5623 8692,1972-10-22,Masculino,Campinas,SP,1211666.71,Agente Esportivo,2022-10-06
69,Erick Barros,rpinto@example.org,11 9237-4740,1993-10-22,Prefiro não informar,Fortaleza,CE,651687.16,Juiz,2022-11-28
70,Laura Rocha,diogomacedo@example.com,0900 464 7436,1974-10-22,Masculino,Rio de Janeiro,RJ,443786.06,Investidor,2022-06-21
71,Bianca da Costa,woliveira@example.net,(021) 4064 0909,1985-10-22,Masculino,Rio de Janeiro,RJ,1094585.29,Diretor de Empresa,2023-09-28
72,Sra. Laura Vasconcelos,claricecamara@example.net,+55 (071) 9421-0470,1991-10-23,Masculino,Goiânia,GO,531790.61,Promotor,2024-11-18
73,Maria Clara Siqueira,fernandoda-rocha@example.com,84 2328 5884,1990-10-22,Feminino,Goiânia,GO,1488668.61,Investidor,2023-09-17
74,José Miguel Mendes,camila17@example.org,+55 (011) 3685-1604,1985-10-22,Masculino,Rio de Janeiro,RJ,1083061.26,Agente Esportivo,2024-12-17
75,Camila Marques,vinicius96@example.net,31 1370 9859,1989-10-22,Feminino,Belo Horizonte,MG,958533.83,Advogado,2024-09-02
76,Benício Porto,tsampaio@example.net,81 1200 4711,1988-10-22,Masculino,Manaus,AM,1689817.77,Diretor de Empresa,2024-10-28
77,Vitor Gabriel Carvalho,xmarques@example.net,71 6926-1796,1996-10-22,Masculino,Recife,PE,176567.99,Investidor,2024-08-08
78,Arthur Gabriel Sales,pedro-henrique77@example.org,21 1585 0643,1994-10-22,Masculino,Campinas,SP,400320.03,Cirurgião,2023-06-10
79,Rafael Borges,asafearagao@example.com,+55 51 2931 8393,1982-10-22,Masculino,Recife,PE,499266.59,Arquiteto,2023-10-20
80,Lucas Vasconcelos,andreda-mota@example.org,+55 81 8421 0205,1964-10-22,Masculino,Belo Horizonte,MG,1040620.77,Cirurgião,2022-05-08
81,Lorenzo Almeida,viniciusaragao@example.org,84 8117 7589,1983-10-23,Masculino,Belo Horizonte,MG,493552.19,Engenheiro,2022-09-20
82,Rael Montenegro,caiosiqueira@example.net,41 4700-7661,1966-10-22,Masculino,Campinas,SP,658872.04,Desenvolvedor de Software,2024-06-16
83,Melina Barbosa,duartejuan@example.org,+55 81 4998 5698,1981-10-22,Masculino,Salvador,BA,477119.8,Desenvolvedor de Software,2023-01-06
84,Rafael Montenegro,ybrito@example.net,+55 61 8367 3657,1984-10-22,Masculino,Manaus,AM,650806.6,Médico,2022-05-20
85,Maria Vitória Siqueira,diasleticia@example.com,+55 61 5271-1116,1977-10-22,Masculino,São Paulo,SP,475451.63,Professor Universitário,2024-06-13
86,Marcelo Cardoso,pastorbella@example.net,+55 71 6560 4945,1993-10-22,Masculino,Florianópolis,SC,346942.03,Engenheiro,2023-02-06
87,Thiago Cunha,maria-luisacamara@example.org,(084) 8514 9368,1996-10-22,Masculino,Belo Horizonte,MG,215422.31,Executivo,2023-08-10
88,Amanda Pereira,benjamin24@example.net,(041) 5502 2961,1987-10-23,Prefiro não informar,Brasília,DF,1010530.83,Desenvolvedor de Software,2022-06-27
89,Arthur Borges,fernandaleao@example.com,(081) 2545 9910,1979-10-23,Masculino,Curitiba,PR,1255557.95,Gestor de TI,2023-12-22
90,Emanuel Sá,rochaenrico@example.com,(031) 6797-6438,1980-10-22,Masculino,Manaus,AM,851344.67,Advogado,2023-08-08
91,Luiz Felipe Lopes,da-pazmariah@example.net,(041) 0369 0034,1975-10-23,Masculino,Florianópolis,SC,358250.51,Promotor,2022-07-08
92,Davi Miguel Teixeira,amanda51@example.org,11 6226-8388,1993-10-22,Masculino,São Paulo,SP,174127.83,Agente Esportivo,2024-06-14
93,Maria Barbosa,csousa@example.com,+55 (031) 7159 6966,1971-10-23,Masculino,Rio de Janeiro,RJ,983515.11,Investidor,2024-12-01
94,Danilo Guerra,duarteluigi@example.net,(051) 5161-3696,1992-10-22,Masculino,Salvador,BA,228510.65,Cirurgião,2024-01-26
95,Anna Liz Gonçalves,camila35@example.org,+55 11 8188 3552,1985-10-22,Feminino,Belo Horizonte,MG,454187.3,Professor Universitário,2022-04-21
96,Cauã Casa Grande,miguel29@example.org,+55 11 2779 9799,1968-10-22,Masculino,Brasília,DF,704952.24,Professor Universitário,2024-09-02
97,Dr. Dom Macedo,meloluisa@example.net,(031) 4905 8147,1966-10-22,Feminino,Salvador,BA,579624.14,Dentista,2024-12-27
98,Ana Carolina Araújo,allana11@example.net,0300-867-9807,1991-10-23,Masculino,Curitiba,PR,278330.64,Desenvolvedor de Software,2022-06-14
99,Esther Duarte,jmontenegro@example.org,(041) 1518-2037,1985-10-22,Feminino,Brasília,DF,1340399.9,Executivo,2022-04-10
100,Valentina Moreira,emanuellafreitas@example.com,51 6590 5151,1979-10-23,Feminino,Belo Horizonte,MG,407920.19,Médico,2023-05-04
101,Maria Isis da Paz,kaique51@example.net,+55 (011) 5462-9148,1994-10-22,Masculino,São José dos Campos,SP,396831.65,Diretor de Empresa,2024-08-29
102,Luísa Cardoso,ramoslavinia@example.net,21 0542 3573,1985-10-22,Feminino,São Paulo,SP,1453661.84,Delegado,2024-09-05
103,Davi Miguel Cassiano,da-rochaguilherme@example.net,71 8059-2962,1983-10-23,Masculino,Recife,PE,1679810.2,Juiz,2022-04-30
104,Fernando Sales,lunaaparecida@example.com,21 3794 7383,1994-10-22,Feminino,São Paulo,SP,220513.47,Juiz,2024-02-13
105,Ravy Correia,lunna74@example.com,21 8623-9240,1969-10-22,Masculino,Manaus,AM,387532.98,Consultor,2024-07-20
106,Rafaela Freitas,silvapietra@example.org,(011) 1247 8261,1983-10-23,Prefiro não informar,Goiânia,GO,739469.61,Advogado,2024-08-13
107,Rael Ferreira,leaocaue@example.com,21 5361-5305,1983-10-23,Masculino,Salvador,BA,652896.58,Engenheiro,2023-09-07
108,Lucas Gabriel Vieira,joao-guilhermeandrade@example.com,(071) 2779-0104,1980-10-22,Feminino,Goiânia,GO,746291.64,Produtor,2023-08-15
109,Dom Novaes,xcamargo@example.com,+55 41 4103-6971,1998-10-22,Masculino,Goiânia,GO,243253.84,Advogado,2024-10-11
110,Theo Peixoto,piresolivia@example.net,+55 41 2460-9539,1997-10-22,Masculino,Campinas,SP,195466.59,Delegado,2022-08-26
111,Ester Rios,mouraeloah@example.org,51 8888 0670,1995-10-23,Feminino,Porto Alegre,RS,390597.14,Dentista,2022-01-26
112,Maria Julia Freitas,arthur-gabriel51@example.com,+55 41 1952-0585,1993-10-22,Masculino,Campinas,SP,470869.87,Diretor de Empresa,2023-11-09
113,Emanuella Vasconcelos,esampaio@example.net,+55 (061) 2170-4303,1996-10-22,Feminino,Curitiba,PR,299839.21,Professor Universitário,2023-08-31
114,Levi das Neves,enogueira@example.com,+55 (051) 3450 5415,1999-10-23,Feminino,Campinas,SP,144475.42,Agente Esportivo,2024-04-07
115,Maria Liz Souza,vgomes@example.org,11 7584-1616,1996-10-22,Masculino,Fortaleza,CE,253544.73,Diretor de Empresa,2023-04-27
116,Emilly Nogueira,aurora11@example.com,(021) 4796 2757,1991-10-23,Feminino,São Paulo,SP,563502.98,Gestor de TI,2024-08-05
117,Luiz Gustavo Pimenta,oda-mota@example.org,+55 11 6582 0297,1977-10-22,Masculino,Rio de Janeiro,RJ,1113002.23,Promotor,2024-06-10
118,Davi Lucas Azevedo,emanuellyfonseca@example.com,0300 092 7557,1966-10-22,Masculino,Recife,PE,887491.49,Dentista,2023-10-22
119,Davi Miguel Moura,isabella54@example.org,+55 61 0278 6814,1962-10-22,Masculino,Vitória,ES,625878.21,Contador,2024-04-04
120,Pietro Cunha,mariane31@example.org,+55 11 7271 5518,1984-10-22,Masculino,Vitória,ES,660949.09,Investidor,2024-08-13
121,Lavínia da Rosa,luiz-fernandovieira@example.com,31 3132-3705,1973-10-22,Masculino,Curitiba,PR,1292439.66,Consultor,2022-12-06
122,Maria Eduarda Martins,erickazevedo@example.com,61 7866 9125,1965-10-22,Masculino,Manaus,AM,995758.91,Promotor,2022-07-18
123,Ana Sophia Machado,hrodrigues@example.com,+55 81 8922 6801,1981-10-22,Feminino,Goiânia,GO,1013230.97,Agente Esportivo,2023-04-22
124,Daniela da Rosa,lorenzoduarte@example.net,+55 21 5841-4384,1978-10-22,Masculino,São Paulo,SP,657706.17,Promotor,2022-01-13
125,Kevin Pimenta,montenegrolucca@example.net,0800 229 9590,1998-10-22,Masculino,Vitória,ES,357745.71,Engenheiro,2023-04-28
126,Bruno Aparecida,otto96@example.net,+55 (041) 7844 7364,1998-10-22,Masculino,Curitiba,PR,386266.46,Engenheiro,2024-03-31
127,Ana Sophia Sales,castrolunna@example.com,(081) 7359-2555,1982-10-22,Feminino,São José dos Campos,SP,1050732.86,Promotor,2024-05-26
128,Caroline Teixeira,olivia81@example.com,+55 41 7147-3210,1983-10-23,Masculino,Curitiba,PR,1243622.43,Piloto,2024-02-17
129,Matheus Pimenta,kda-cruz@example.com,0500 532 7877,1989-10-22,Masculino,São José dos Campos,SP,1061394.56,Diretor de Empresa,2023-10-27
130,Theo Almeida,goncalvesmirella@example.com,+55 41 3950-0479,1966-10-22,Feminino,Campinas,SP,1179144.71,Agente Esportivo,2023-11-11
131,Olivia da Paz,caldeiralorena@example.org,+55 71 5650-6098,1989-10-22,Prefiro não informar,Recife,PE,847244.9,Cirurgião,2023-07-10
132,Luiz Miguel Novaes,diogo68@example.com,81 4991-2165,1985-10-22,Feminino,Vitória,ES,1146163.62,Médico,2023-08-05
133,Dr. Diego Costa,cmontenegro@example.org,+55 (051) 2578 7298,1982-10-22,Feminino,Campinas,SP,1344155.26,Desenvolvedor de Software,2024-06-25
134,Luan Pimenta,luan69@example.net,(031) 9588 8794,1967-10-23,Masculino,São Paulo,SP,336736.2,Empresário,2023-06-14
135,Allana Freitas,henry69@example.com,+55 (041) 9749 9309,1978-10-22,Masculino,Florianópolis,SC,1277750.05,Arquiteto,2023-02-17
136,Eloá Moura,rcasa-grande@example.org,+55 (051) 9130 7562,1976-10-22,Feminino,Brasília,DF,1095306.95,Gestor de TI,2023-07-14
137,Gabrielly Jesus,usousa@example.org,+55 84 8385 7865,1975-10-23,Prefiro não informar,Recife,PE,990931.1,Empresário,2022-08-09
138,Raul Nascimento,zoe54@example.net,(081) 3348-4344,1962-10-22,Masculino,Rio de Janeiro,RJ,343055.82,Arquiteto,2024-05-16
139,Srta. Rebeca Dias,jferreira@example.net,+55 84 4198-6652,1993-10-22,Masculino,Manaus,AM,233040.9,Contador,2024-10-19
140,Asafe da Paz,ferreiraluisa@example.net,+55 61 7338-4842,1982-10-22,Masculino,Salvador,BA,1072726.16,Arquiteto,2024-03-03
141,Isaque da Cruz,riossofia@example.org,+55 31 0165-7120,1977-10-22,Masculino,Curitiba,PR,747567.4,Contador,2024-10-07
142,Eduarda Jesus,pmendes@example.org,(011) 5401 9380,1985-10-22,Masculino,Vitória,ES,532718.44,Contador,2024-10-11
143,Oliver Cavalcanti,goncalvesmaya@example.org,(021) 0049 9154,1968-10-22,Feminino,Campinas,SP,1383584.07,Investidor,2023-10-28
144,Ísis Moura,gcarvalho@example.com,+55 81 3152-7420,1977-10-22,Masculino,Porto Alegre,RS,664529.86,Promotor,2024-06-04
145,Sra. Laís Nunes,luiz-fernandopimenta@example.net,71 6851 6122,1970-10-22,Masculino,Goiânia,GO,386350.72,Arquiteto,2022-09-21
146,Luna da Cruz,da-luzhadassa@example.org,(041) 4549-9045,1985-10-22,Masculino,Manaus,AM,838249.36,Consultor,2023-09-04
147,Srta. Ana Liz Rios,martinsana-liz@example.org,71 8414 5933,1992-10-22,Feminino,Vitória,ES,332050.38,Desenvolvedor de Software,2024-01-04
148,Rhavi Cassiano,msouza@example.com,84 8783 3918,1995-10-23,Feminino,Brasília,DF,344505.73,Diretor de Empresa,2024-11-11
149,Vitória Santos,eduardo91@example.org,81 8398-2258,1995-10-23,Feminino,Florianópolis,SC,478475.6,Investidor,2022-09-10
150,Bruna Rodrigues,marianaborges@example.net,(041) 0728-6790,1976-10-22,Feminino,Brasília,DF,676559.46,Engenheiro,2023-07-04
151,Nicole Rocha,augusto64@example.org,+55 11 9106-5180,1991-10-23,Masculino,Manaus,AM,299671.25,Médico,2022-11-09
152,Ravy Andrade,julia22@example.net,84 5676 6182,1984-10-22,Masculino,Belo Horizonte,MG,1512810.41,Executivo,2022-05-13
153,Marcela Campos,stephanygoncalves@example.net,+55 81 3004 7868,1984-10-22,Masculino,Porto Alegre,RS,974053.32,Piloto,2022-06-03
154,Heloísa da Cruz,jferreira@example.com,+55 (071) 1069-0331,1978-10-22,Feminino,Belo Horizonte,MG,2170294.96,Empresário,2023-09-22
155,Arthur Gabriel Machado,da-cruzcaio@example.com,(031) 3830-2843,1990-10-22,Prefiro não informar,Salvador,BA,828017.33,Diretor de Empresa,2023-12-02
156,Dra. Luiza Oliveira,renan42@example.net,41 3644-0892,1974-10-22,Masculino,Manaus,AM,720624.99,Advogado,2023-06-10
157,Mariane Novais,waragao@example.net,41 8566 2462,1975-10-23,Feminino,Porto Alegre,RS,353776.17,Agente Esportivo,2023-06-09
158,Olívia da Costa,ana-clarasantos@example.org,(061) 0866-8826,1968-10-22,Feminino,Salvador,BA,1072606.74,Promotor,2022-02-22
159,José Miguel Costela,emanuel75@example.org,61 3046-9901,1964-10-22,Masculino,São Paulo,SP,854970.3,Engenheiro,2023-02-22
160,Henrique Mendes,brendada-rosa@example.org,+55 11 3173-9363,1977-10-22,Masculino,Brasília,DF,1502407.0,Delegado,2023-07-16
161,Luna Vasconcelos,gabrielly78@example.net,11 4458 7717,1979-10-23,Masculino,São Paulo,SP,774344.85,Engenheiro,2023-07-07
162,Sr. Léo Dias,kaparecida@example.org,+55 (011) 0489-9642,1968-10-22,Masculino,Porto Alegre,RS,303495.66,Diretor de Empresa,2022-07-26
163,Lucas da Conceição,pnunes@example.com,81 5477-7252,1983-10-23,Masculino,Goiânia,GO,415858.01,Juiz,2022-07-22
164,Yago Mendonça,vitoriaramos@example.org,51 0100 6231,1998-10-22,Masculino,Salvador,BA,350087.96,Delegado,2024-05-09
165,Srta. Alexia Cunha,dfreitas@example.net,0800-770-0886,1992-10-22,Masculino,Curitiba,PR,471771.03,Médico,2023-12-08
166,Antony Moura,stella40@example.net,(021) 2118-2339,1988-10-22,Masculino,São Paulo,SP,290568.07,Juiz,2022-07-22
167,Isis Fogaça,isabella15@example.com,(051) 9334-1016,1991-10-23,Masculino,Porto Alegre,RS,201840.55,Desenvolvedor de Software,2023-11-24
168,Maria Flor Novaes,oaraujo@example.org,+55 (041) 1765-9180,1988-10-22,Masculino,Campinas,SP,1574789.33,Diretor de Empresa,2024-08-10
169,Heitor Sales,cda-mata@example.org,+55 84 8902-5039,1988-10-22,Feminino,Campinas,SP,1252955.2,Engenheiro,2023-03-30
170,Miguel Barbosa,luan93@example.net,51 8562 1850,1974-10-22,Masculino,Recife,PE,835093.0,Piloto,2023-04-26
171,Pedro Henrique da Conceição,fernandesisabella@example.com,+55 (041) 4773 5866,1988-10-22,Masculino,Porto Alegre,RS,949434.35,Professor Universitário,2022-09-17
172,Mateus Barros,thales11@example.com,+55 (021) 6265-5110,1988-10-22,Masculino,Recife,PE,1307805.87,Arquiteto,2023-05-06
173,Pedro Miguel Fonseca,gustavo21@example.org,(021) 7888-6101,1985-10-22,Feminino,Salvador,BA,1334934.55,Professor Universitário,2023-12-05
174,Sr. Luan Gomes,da-rochajulia@example.com,+55 21 8398 2622,1964-10-22,Masculino,Goiânia,GO,881037.51,Delegado,2024-01-10
175,Kevin da Mata,ecasa-grande@example.org,(021) 4647-1543,1984-10-22,Masculino,Salvador,BA,1287608.42,Promotor,2023-04-25
176,Dra. Sabrina Peixoto,maria-ceciliacaldeira@example.org,(031) 0659 6575,1982-10-22,Masculino,Curitiba,PR,841031.51,Piloto,2024-12-31
177,Catarina da Rosa,murilo75@example.org,61 5479 3564,1991-10-23,Masculino,Salvador,BA,424175.34,Delegado,2023-10-28
178,Maria Clara Camargo,zoecirino@example.net,81 0737-4167,1998-10-22,Masculino,Fortaleza,CE,547020.98,Gestor de TI,2023-03-13
179,Kevin da Costa,leandro66@example.org,(041) 9796-8868,1989-10-22,Masculino,Campinas,SP,1426225.03,Executivo,2022-07-10
180,Luiz Miguel Sampaio,caldeiratheo@example.net,11 2909 6561,1989-10-22,Feminino,Fortaleza,CE,452533.12,Consultor,2022-02-19
181,Carlos Eduardo da Luz,ninasouza@example.net,84 9937-5679,1982-10-22,Masculino,Curitiba,PR,1266896.93,Juiz,2024-07-11
182,Dra. Clarice Ferreira,mendesgustavo-henrique@example.com,84 1125 4573,1980-10-22,Masculino,Rio de Janeiro,RJ,307448.44,Investidor,2023-02-14
183,Rafaela Ferreira,cbrito@example.net,(041) 5140-1051,1989-10-22,Outro,Belo Horizonte,MG,712544.09,Executivo,2023-04-06
184,Eloah Sousa,pietracavalcanti@example.net,+55 (031) 5867-3622,1998-10-22,Masculino,São Paulo,SP,358907.95,Médico,2024-03-05
185,Marina Gonçalves,sousamiguel@example.com,0900 660 3341,1986-10-22,Masculino,Fortaleza,CE,1638839.66,Produtor,2023-08-18
186,Bella Nascimento,emanuellyduarte@example.org,(051) 1478-5969,1995-10-23,Feminino,Fortaleza,CE,544159.97,Desenvolvedor de Software,2024-08-04
187,Bruna Ferreira,maria-cecilia92@example.net,(031) 9912 5134,1994-10-22,Feminino,São José dos Campos,SP,287209.46,Professor Universitário,2023-11-29
188,Fernando Freitas,ninagomes@example.com,0300-296-6278,1975-10-23,Masculino,Salvador,BA,646884.43,Investidor,2022-03-25
189,Dra. Emanuella Novais,marianada-paz@example.org,+55 (061) 5790-5072,1977-10-22,Feminino,Campinas,SP,1482808.72,Empresário,2024-03-04
