venda_id,cliente_id,veiculo_id,vendedor_id,data_venda,valor_venda,desconto_percentual,forma_pagamento,numero_parcelas,valor_entrada,status_venda,cliente_nome,idade_cliente,genero,cidade,estado,renda_anual,profissao,marca,modelo,ano_fabricacao,potencia_cv,cilindradas,categoria,preco_base,vendedor_nome,comissao_percentual,ano,mes,ano_mes,trimestre
13,1719,1,6,2024-07-03,943788.04,5.32,Leasing,36,94378.8,Concluída,Heloisa Correia,40,Masculino,Florianópolis,SC,1348628.63,Juiz,Ferrari,488 GTB,2025,670,3.9,Superesportivo,996818.8,Sr. Joaquim Almeida,4.76,2024,7,2024-07,2024Q3
14,1314,30,1,2024-12-25,831257.79,10.99,Financiamento,24,286204.4,Concluída,Caio Dias,46,Masculino,Porto Alegre,RS,1899506.69,Advogado,BMW,M5 Competition,2024,625,4.4,Esportivo,933892.58,Allana Ferreira,3.95,2024,12,2024-12,2024Q4
15,691,30,15,2023-11-16,869080.43,6.94,Consórcio,84,0.0,Concluída,Dr. Otávio Mendes,25,Masculino,Fortaleza,CE,609994.2,Promotor,BMW,M5 Competition,2024,625,4.4,Esportivo,933892.58,Marcela Garcia,4.5,2023,11,2023-11,2023Q4
16,550,2,13,2023-02-16,1134530.28,3.78,Financiamento,48,258391.53,Concluída,Lavínia Aparecida,37,Feminino,Manaus,AM,1277928.64,Piloto,Ferrari,F8 Tributo,2022,720,3.9,Superesportivo,1179100.27,Paulo da Mota,4.99,2023,2,2023-02,2023Q1
17,1993,16,8,2023-05-18,1131490.61,5.24,Financiamento,60,437630.48,Concluída,Juliana Siqueira,46,Outro,São José dos Campos,SP,2132724.32,Gestor de TI,McLaren,GT,2023,620,4.0,Gran Turismo,1194059.32,Henrique Pereira,3.61,2023,5,2023-05,2023Q2
18,1714,31,10,2023-07-08,877922.05,3.31,Financiamento,12,227568.53,Concluída,Sophie Macedo,47,Masculino,Salvador,BA,1237070.26,Investidor,BMW,M8 Competition,2022,625,4.4,Gran Turismo,907976.06,Manuela Barros,4.09,2023,7,2023-07,2023Q3
19,88,29,10,2024-12-25,708120.11,0.89,Financiamento,48,253696.99,Concluída,Amanda Pereira,38,Prefiro não informar,Brasília,DF,1010530.83,Desenvolvedor de Software,BMW,M4 Competition,2024,510,3.0,Esportivo,714478.97,Manuela Barros,4.09,2024,12,2024-12,2024Q4
20,1343,29,2,2024-05-22,659821.33,7.65,Financiamento,60,206809.59,Concluída,Aylla Moraes,53,Masculino,Curitiba,PR,492320.76,Agente Esportivo,BMW,M4 Competition,2024,510,3.0,Esportivo,714478.97,Maya Mendonça,3.07,2024,5,2024-05,2024Q2
22,1935,10,1,2024-12-12,850062.2,10.93,Leasing,36,85006.22,Concluída,Vitor Gabriel Gomes,43,Masculino,Florianópolis,SC,2049177.01,Empresário,Porsche,911 Turbo,2023,580,3.8,Superesportivo,954375.44,Allana Ferreira,3.95,2024,12,2024-12,2024Q4
24,1685,32,6,2024-10-20,843852.64,2.0,Financiamento,12,331303.43,Concluída,Maria Alice Porto,53,Feminino,Campinas,SP,617369.22,Promotor,Mercedes-AMG,GT,2024,530,4.0,Esportivo,861074.12,Sr. Joaquim Almeida,4.76,2024,10,2024-10,2024Q4
25,1815,35,4,2024-01-06,733034.58,7.15,Leasing,36,73303.46,Concluída,Luigi Costela,25,Feminino,Florianópolis,SC,364819.94,Professor Universitário,Mercedes-AMG,E63 S,2023,612,4.0,Esportivo,789482.59,Ana Luiza Caldeira,4.81,2024,1,2024-01,2024Q1
26,1581,27,9,2024-02-20,509726.13,3.37,Consórcio,60,0.0,Concluída,Eduarda Ribeiro,34,Masculino,Manaus,AM,297305.47,Delegado,Dodge,Charger SRT Hellcat,2022,707,6.2,Muscle Car,527502.98,Miguel Abreu,4.23,2024,2,2024-02,2024Q1
27,894,26,12,2024-12-02,558963.59,8.1,À vista,1,558963.59,Concluída,Ryan da Rosa,42,Masculino,Brasília,DF,1246698.01,Piloto,Dodge,Challenger SRT Hellcat,2024,717,6.2,Muscle Car,608230.24,Sra. Letícia Brito,4.15,2024,12,2024-12,2024Q4
28,1741,38,7,2023-08-07,889413.18,0.67,Consórcio,84,0.0,Concluída,Valentina Moreira,52,Masculino,Belo Horizonte,MG,672319.09,Arquiteto,Audi,RS7,2024,600,4.0,Gran Turismo,895412.44,Cecilia Borges,3.35,2023,8,2023-08,2023Q3
29,1453,38,12,2024-01-05,863983.46,3.51,Consórcio,84,0.0,Concluída,Luigi Lima,46,Feminino,Fortaleza,CE,1039891.14,Executivo,Audi,RS7,2024,600,4.0,Gran Turismo,895412.44,Sra. Letícia Brito,4.15,2024,1,2024-01,2024Q1
30,377,10,3,2023-08-04,929466.24,2.61,À vista,1,929466.24,Concluída,Cecilia Castro,35,Masculino,Goiânia,GO,846163.75,Advogado,Porsche,911 Turbo,2023,580,3.8,Superesportivo,954375.44,Lucas Gabriel Souza,4.89,2023,8,2023-08,2023Q3
31,1317,25,6,2023-07-08,703926.81,1.54,Financiamento,60,279154.64,Concluída,João Lucas Melo,33,Masculino,Fortaleza,CE,259294.33,Empresário,Ford,Mustang Shelby GT500,2023,760,5.2,Muscle Car,714936.84,Sr. Joaquim Almeida,4.76,2023,7,2023-07,2023Q3
32,908,29,7,2023-11-28,662107.66,7.33,Financiamento,36,168128.71,Concluída,Aurora Oliveira,36,Masculino,Fortaleza,CE,2003708.79,Executivo,BMW,M4 Competition,2024,510,3.0,Esportivo,714478.97,Cecilia Borges,3.35,2023,11,2023-11,2023Q4
33,1661,29,1,2023-11-11,694259.22,2.83,Financiamento,12,220740.47,Concluída,Alexia Freitas,43,Masculino,Salvador,BA,1734323.48,Diretor de Empresa,BMW,M4 Competition,2024,510,3.0,Esportivo,714478.97,Allana Ferreira,3.95,2023,11,2023-11,2023Q4
34,963,19,9,2024-11-15,1040070.28,7.82,Financiamento,48,264061.05,Concluída,Augusto Garcia,42,Masculino,Florianópolis,SC,950212.08,Professor Universitário,Aston Martin,DB11,2022,630,5.2,Gran Turismo,1128303.62,Miguel Abreu,4.23,2024,11,2024-11,2024Q4
35,1207,14,15,2023-06-11,666301.94,4.7,Financiamento,24,177622.88,Concluída,Rafael Gomes,44,Masculino,Vitória,ES,822210.45,Gestor de TI,Porsche,Taycan,2023,560,0.0,Esportivo Elétrico,699162.58,Marcela Garcia,4.5,2023,6,2023-06,2023Q2
36,1174,1,6,2023-12-07,982265.25,1.46,Financiamento,60,262876.92,Concluída,Juliana Borges,35,Feminino,Rio de Janeiro,RJ,1584076.12,Juiz,Ferrari,488 GTB,2025,670,3.9,Superesportivo,996818.8,Sr. Joaquim Almeida,4.76,2023,12,2023-12,2023Q4
37,1773,28,15,2024-05-18,543570.28,6.3,Consórcio,72,0.0,Concluída,Kevin Martins,34,Masculino,Recife,PE,291219.6,Desenvolvedor de Software,BMW,M3 Competition,2022,510,3.0,Esportivo,580117.69,Marcela Garcia,4.5,2024,5,2024-05,2024Q2
38,1275,8,15,2023-08-23,1235894.81,14.46,Leasing,48,123589.48,Concluída,Vinícius Pacheco,45,Masculino,Brasília,DF,1219109.66,Empresário,Lamborghini,Urus,2024,650,4.0,SUV Esportivo,1444815.07,Marcela Garcia,4.5,2023,8,2023-08,2023Q3
39,1080,4,8,2023-09-13,820857.82,3.49,Consórcio,84,0.0,Concluída,João Siqueira,51,Feminino,Brasília,DF,513125.49,Advogado,Ferrari,Portofino,2023,600,3.9,Conversível,850541.73,Henrique Pereira,3.61,2023,9,2023-09,2023Q3
40,1907,32,2,2023-09-09,798818.46,7.23,Financiamento,24,251459.32,Concluída,Yago Moura,39,Feminino,Rio de Janeiro,RJ,1676523.97,Advogado,Mercedes-AMG,GT,2024,530,4.0,Esportivo,861074.12,Maya Mendonça,3.07,2023,9,2023-09,2023Q3
41,1134,35,6,2023-10-10,756798.01,4.14,À vista,1,756798.01,Concluída,Luísa Machado,41,Feminino,São Paulo,SP,835226.65,Executivo,Mercedes-AMG,E63 S,2023,612,4.0,Esportivo,789482.59,Sr. Joaquim Almeida,4.76,2023,10,2023-10,2023Q4
42,1249,5,9,2023-11-26,1527330.66,2.93,À vista,1,1527330.66,Concluída,Ana Lívia Silva,64,Masculino,São Paulo,SP,1066818.39,Médico,Ferrari,812 Superfast,2022,800,6.5,Gran Turismo,1573432.22,Miguel Abreu,4.23,2023,11,2023-11,2023Q4
43,585,31,9,2024-12-02,835337.98,8.0,Financiamento,48,175853.16,Concluída,Srta. Olivia Vieira,36,Outro,São José dos Campos,SP,846810.99,Gestor de TI,BMW,M8 Competition,2022,625,4.4,Gran Turismo,907976.06,Miguel Abreu,4.23,2024,12,2024-12,2024Q4
44,1723,34,4,2023-09-03,604060.47,5.99,Financiamento,48,173868.8,Concluída,Melissa Nascimento,37,Feminino,São Paulo,SP,1759285.7,Investidor,Mercedes-AMG,C63 S,2023,510,4.0,Esportivo,642549.17,Ana Luiza Caldeira,4.81,2023,9,2023-09,2023Q3
45,651,23,5,2024-10-22,545165.04,5.65,Financiamento,36,125078.05,Concluída,Srta. Zoe Costela,38,Feminino,Brasília,DF,783787.6,Cirurgião,Chevrolet,Camaro ZL1,2024,650,6.2,Muscle Car,577811.38,Daniela Montenegro,4.54,2024,10,2024-10,2024Q4
46,97,18,13,2023-03-01,867276.95,4.7,À vista,1,867276.95,Concluída,Dr. Dom Macedo,59,Feminino,Salvador,BA,579624.14,Dentista,Aston Martin,Vantage,2024,510,4.0,Esportivo,910049.27,Paulo da Mota,4.99,2023,3,2023-03,2023Q1
47,1196,34,4,2024-08-28,626485.44,2.5,Financiamento,48,179350.97,Concluída,Dra. Nicole Monteiro,55,Feminino,Belo Horizonte,MG,653997.59,Juiz,Mercedes-AMG,C63 S,2023,510,4.0,Esportivo,642549.17,Ana Luiza Caldeira,4.81,2024,8,2024-08,2024Q3
48,1635,35,9,2023-09-13,773456.09,2.03,À vista,1,773456.09,Concluída,Vitória Souza,29,Feminino,Vitória,ES,211343.38,Executivo,Mercedes-AMG,E63 S,2023,612,4.0,Esportivo,789482.59,Miguel Abreu,4.23,2023,9,2023-09,2023Q3
49,18,30,13,2023-07-11,895976.54,4.06,Financiamento,48,354632.78,Concluída,Dra. Raquel Cassiano,47,Outro,Manaus,AM,1205996.76,Agente Esportivo,BMW,M5 Competition,2024,625,4.4,Esportivo,933892.58,Paulo da Mota,4.99,2023,7,2023-07,2023Q3
50,692,16,11,2023-03-06,1082892.4,9.31,À vista,1,1082892.4,Concluída,Yasmin Nascimento,45,Feminino,Goiânia,GO,1127103.35,Advogado,McLaren,GT,2023,620,4.0,Gran Turismo,1194059.32,Rafaela Freitas,4.67,2023,3,2023-03,2023Q1
51,1179,1,15,2023-10-17,959238.73,3.77,Financiamento,48,209672.64,Concluída,Léo Câmara,44,Masculino,Vitória,ES,1377329.8,Desenvolvedor de Software,Ferrari,488 GTB,2025,670,3.9,Superesportivo,996818.8,Marcela Garcia,4.5,2023,10,2023-10,2023Q4
52,1084,21,15,2023-05-02,485033.3,0.17,Consórcio,60,0.0,Concluída,Pedro Henrique Guerra,36,Masculino,Florianópolis,SC,595870.17,Gestor de TI,Chevrolet,Corvette C8,2023,495,6.2,Esportivo,485859.26,Marcela Garcia,4.5,2023,5,2023-05,2023Q2
54,73,33,7,2024-08-13,1008165.34,4.35,Financiamento,24,363184.34,Concluída,Maria Clara Siqueira,35,Feminino,Goiânia,GO,1488668.61,Investidor,Mercedes-AMG,GT R,2024,585,4.0,Superesportivo,1054014.99,Cecilia Borges,3.35,2024,8,2024-08,2024Q3
55,1012,5,5,2023-09-12,1495389.98,4.96,Financiamento,36,554004.33,Concluída,Maria Liz Nogueira,65,Feminino,Porto Alegre,RS,917772.54,Engenheiro,Ferrari,812 Superfast,2022,800,6.5,Gran Turismo,1573432.22,Daniela Montenegro,4.54,2023,9,2023-09,2023Q3
56,755,29,2,2024-02-21,679540.95,4.89,Consórcio,72,0.0,Concluída,Caio Correia,47,Masculino,Recife,PE,418572.64,Médico,BMW,M4 Competition,2024,510,3.0,Esportivo,714478.97,Maya Mendonça,3.07,2024,2,2024-02,2024Q1
57,1237,24,14,2023-11-17,442637.84,3.2,Financiamento,36,160188.74,Concluída,Elisa Mendes,51,Masculino,Florianópolis,SC,354350.01,Executivo,Ford,Mustang GT,2024,460,5.0,Muscle Car,457270.5,Valentim Vasconcelos,3.05,2023,11,2023-11,2023Q4
58,752,29,3,2023-10-21,678397.78,5.05,Leasing,36,67839.78,Concluída,Dr. Alexandre Mendonça,37,Masculino,Porto Alegre,RS,685282.29,Diretor de Empresa,BMW,M4 Competition,2024,510,3.0,Esportivo,714478.97,Lucas Gabriel Souza,4.89,2023,10,2023-10,2023Q4
59,1757,30,9,2024-09-27,894575.7,4.21,Financiamento,12,206576.77,Concluída,Maitê Souza,57,Masculino,Manaus,AM,1019853.21,Cirurgião,BMW,M5 Competition,2024,625,4.4,Esportivo,933892.58,Miguel Abreu,4.23,2024,9,2024-09,2024Q3
60,1495,29,5,2024-06-08,693187.5,2.98,À vista,1,693187.5,Concluída,Anthony Gabriel da Luz,35,Feminino,Curitiba,PR,806945.46,Desenvolvedor de Software,BMW,M4 Competition,2024,510,3.0,Esportivo,714478.97,Daniela Montenegro,4.54,2024,6,2024-06,2024Q2
61,1921,9,6,2023-03-11,596000.02,0.29,Consórcio,72,0.0,Concluída,Benjamin da Cruz,50,Masculino,São José dos Campos,SP,277932.14,Promotor,Porsche,911 Carrera,2023,385,3.0,Esportivo,597733.45,Sr. Joaquim Almeida,4.76,2023,3,2023-03,2023Q1
62,967,38,14,2023-06-03,870161.81,2.82,Financiamento,48,207159.81,Concluída,Gabriela Cardoso,40,Masculino,Recife,PE,965180.65,Contador,Audi,RS7,2024,600,4.0,Gran Turismo,895412.44,Valentim Vasconcelos,3.05,2023,6,2023-06,2023Q2
64,1984,37,5,2023-10-14,593815.57,3.89,À vista,1,593815.57,Concluída,Bryan Porto,48,Masculino,Vitória,ES,728490.35,Agente Esportivo,Audi,RS5,2025,450,2.9,Esportivo,617849.93,Daniela Montenegro,4.54,2023,10,2023-10,2023Q4
66,512,29,13,2024-12-18,608878.98,14.78,Financiamento,24,216587.65,Concluída,Maria Eduarda Cardoso,42,Masculino,Belo Horizonte,MG,1495325.7,Professor Universitário,BMW,M4 Competition,2024,510,3.0,Esportivo,714478.97,Paulo da Mota,4.99,2024,12,2024-12,2024Q4
67,782,36,5,2023-07-21,1172926.62,14.02,À vista,1,1172926.62,Concluída,Oliver Peixoto,41,Feminino,Recife,PE,1007291.25,Contador,Audi,R8 V10,2024,570,5.2,Superesportivo,1364185.41,Daniela Montenegro,4.54,2023,7,2023-07,2023Q3
68,161,33,5,2023-12-19,911090.56,13.56,Consórcio,84,0.0,Concluída,Luna Vasconcelos,46,Masculino,São Paulo,SP,774344.85,Engenheiro,Mercedes-AMG,GT R,2024,585,4.0,Superesportivo,1054014.99,Daniela Montenegro,4.54,2023,12,2023-12,2023Q4
69,793,26,2,2023-09-28,588219.47,3.29,À vista,1,588219.47,Concluída,Nina Souza,30,Masculino,Porto Alegre,RS,403686.41,Gestor de TI,Dodge,Challenger SRT Hellcat,2024,717,6.2,Muscle Car,608230.24,Maya Mendonça,3.07,2023,9,2023-09,2023Q3
71,1868,12,11,2023-03-14,364686.07,5.9,Financiamento,24,144872.52,Concluída,Ana Carolina Monteiro,58,Masculino,Brasília,DF,454920.18,Cirurgião,Porsche,718 Boxster,2022,300,2.0,Conversível,387551.62,Rafaela Freitas,4.67,2023,3,2023-03,2023Q1
73,168,18,6,2023-12-06,894305.42,1.73,Financiamento,36,280518.78,Concluída,Maria Flor Novaes,37,Masculino,Campinas,SP,1574789.33,Diretor de Empresa,Aston Martin,Vantage,2024,510,4.0,Esportivo,910049.27,Sr. Joaquim Almeida,4.76,2023,12,2023-12,2023Q4
74,1263,31,1,2023-02-24,864211.61,4.82,À vista,1,864211.61,Concluída,Lucca Caldeira,36,Feminino,Curitiba,PR,672965.51,Gestor de TI,BMW,M8 Competition,2022,625,4.4,Gran Turismo,907976.06,Allana Ferreira,3.95,2023,2,2023-02,2023Q1
75,493,26,13,2023-12-25,606101.43,0.35,Financiamento,36,223664.23,Concluída,Letícia Lopes,47,Masculino,Goiânia,GO,739119.93,Dentista,Dodge,Challenger SRT Hellcat,2024,717,6.2,Muscle Car,608230.24,Paulo da Mota,4.99,2023,12,2023-12,2023Q4
77,1340,2,3,2024-07-24,1076636.46,8.69,À vista,1,1076636.46,Concluída,Rebeca Silveira,37,Masculino,Salvador,BA,813834.98,Delegado,Ferrari,F8 Tributo,2022,720,3.9,Superesportivo,1179100.27,Lucas Gabriel Souza,4.89,2024,7,2024-07,2024Q3
79,1977,16,8,2023-06-04,1192626.45,0.12,À vista,1,1192626.45,Concluída,Bella Sales,35,Masculino,Florianópolis,SC,1231697.76,Dentista,McLaren,GT,2023,620,4.0,Gran Turismo,1194059.32,Henrique Pereira,3.61,2023,6,2023-06,2023Q2
80,42,22,13,2023-06-06,366271.7,7.15,Financiamento,12,118298.34,Concluída,Isaque Cardoso,30,Feminino,Florianópolis,SC,281409.63,Médico,Chevrolet,Camaro SS,2024,455,6.2,Muscle Car,394476.79,Paulo da Mota,4.99,2023,6,2023-06,2023Q2
81,185,18,6,2024-12-20,839429.45,7.76,Financiamento,60,189693.06,Concluída,Marina Gonçalves,39,Masculino,Fortaleza,CE,1638839.66,Produtor,Aston Martin,Vantage,2024,510,4.0,Esportivo,910049.27,Sr. Joaquim Almeida,4.76,2024,12,2024-12,2024Q4
82,1318,19,8,2023-11-20,1045034.81,7.38,Financiamento,24,225256.3,Concluída,José Pedro Farias,47,Masculino,Belo Horizonte,MG,1702892.57,Investidor,Aston Martin,DB11,2022,630,5.2,Gran Turismo,1128303.62,Henrique Pereira,3.61,2023,11,2023-11,2023Q4
83,233,19,15,2023-12-22,1002836.26,11.12,Financiamento,12,388441.32,Concluída,Marcela Nogueira,55,Masculino,Florianópolis,SC,657454.77,Empresário,Aston Martin,DB11,2022,630,5.2,Gran Turismo,1128303.62,Marcela Garcia,4.5,2023,12,2023-12,2023Q4
84,1227,9,15,2024-03-03,570058.39,4.63,Financiamento,48,185250.41,Concluída,Anna Liz Oliveira,56,Masculino,Rio de Janeiro,RJ,716406.85,Delegado,Porsche,911 Carrera,2023,385,3.0,Esportivo,597733.45,Marcela Garcia,4.5,2024,3,2024-03,2024Q1
85,828,14,14,2023-05-17,661827.3,5.34,Financiamento,60,251654.37,Concluída,Miguel Vargas,39,Feminino,Curitiba,PR,640292.67,Professor Universitário,Porsche,Taycan,2023,560,0.0,Esportivo Elétrico,699162.58,Valentim Vasconcelos,3.05,2023,5,2023-05,2023Q2
86,1739,18,2,2024-12-23,899583.7,1.15,Financiamento,36,204706.66,Concluída,Rafaela Casa Grande,45,Masculino,Brasília,DF,2035969.32,Investidor,Aston Martin,Vantage,2024,510,4.0,Esportivo,910049.27,Maya Mendonça,3.07,2024,12,2024-12,2024Q4
87,1256,27,13,2023-06-28,510359.13,3.25,Financiamento,48,121955.83,Concluída,Kevin Nascimento,42,Feminino,Vitória,ES,437424.74,Diretor de Empresa,Dodge,Charger SRT Hellcat,2022,707,6.2,Muscle Car,527502.98,Paulo da Mota,4.99,2023,6,2023-06,2023Q2
88,1182,28,7,2024-11-16,560045.62,3.46,À vista,1,560045.62,Concluída,Bianca Martins,28,Masculino,São Paulo,SP,232251.49,Arquiteto,BMW,M3 Competition,2022,510,3.0,Esportivo,580117.69,Cecilia Borges,3.35,2024,11,2024-11,2024Q4
89,1444,25,5,2023-06-06,662317.49,7.36,À vista,1,662317.49,Concluída,Sara da Cunha,47,Feminino,Curitiba,PR,1498702.0,Engenheiro,Ford,Mustang Shelby GT500,2023,760,5.2,Muscle Car,714936.84,Daniela Montenegro,4.54,2023,6,2023-06,2023Q2
90,1210,29,6,2023-12-08,653033.78,8.6,Financiamento,12,173204.11,Concluída,Dr. Felipe Montenegro,43,Masculino,São Paulo,SP,1501730.19,Contador,BMW,M4 Competition,2024,510,3.0,Esportivo,714478.97,Sr. Joaquim Almeida,4.76,2023,12,2023-12,2023Q4
91,208,37,10,2024-01-25,602280.11,2.52,Financiamento,12,163627.73,Concluída,Ana Laura das Neves,60,Masculino,Rio de Janeiro,RJ,297279.3,Desenvolvedor de Software,Audi,RS5,2025,450,2.9,Esportivo,617849.93,Manuela Barros,4.09,2024,1,2024-01,2024Q1
92,587,3,3,2024-02-14,933891.36,5.48,Financiamento,24,214616.12,Concluída,Eduarda Freitas,56,Masculino,Fortaleza,CE,691205.51,Produtor,Ferrari,Roma,2022,620,3.9,Gran Turismo,988035.72,Lucas Gabriel Souza,4.89,2024,2,2024-02,2024Q1
93,1453,15,5,2023-01-25,1403481.06,1.28,Financiamento,24,530044.81,Concluída,Luigi Lima,46,Feminino,Fortaleza,CE,1039891.14,Executivo,McLaren,720S,2023,720,4.0,Superesportivo,1421678.55,Daniela Montenegro,4.54,2023,1,2023-01,2023Q1
94,604,10,15,2023-10-06,895776.79,6.14,Financiamento,48,332230.96,Concluída,Lara Castro,54,Masculino,Salvador,BA,1045924.82,Médico,Porsche,911 Turbo,2023,580,3.8,Superesportivo,954375.44,Marcela Garcia,4.5,2023,10,2023-10,2023Q4
95,1913,25,6,2024-11-23,658385.34,7.91,Consórcio,72,0.0,Concluída,Dra. Clara Pacheco,49,Feminino,Curitiba,PR,1411887.45,Investidor,Ford,Mustang Shelby GT500,2023,760,5.2,Muscle Car,714936.84,Sr. Joaquim Almeida,4.76,2024,11,2024-11,2024Q4
96,1305,32,15,2024-09-08,820259.21,4.74,À vista,1,820259.21,Concluída,Alícia Sales,41,Feminino,Belo Horizonte,MG,1481687.1,Delegado,Mercedes-AMG,GT,2024,530,4.0,Esportivo,861074.12,Marcela Garcia,4.5,2024,9,2024-09,2024Q3
97,1545,23,6,2024-06-13,543604.95,5.92,À vista,1,543604.95,Concluída,Lorenzo Araújo,53,Masculino,Manaus,AM,395518.08,Consultor,Chevrolet,Camaro ZL1,2024,650,6.2,Muscle Car,577811.38,Sr. Joaquim Almeida,4.76,2024,6,2024-06,2024Q2
98,919,26,2,2023-08-20,585421.61,3.75,Financiamento,48,132089.26,Concluída,Valentina Cavalcante,34,Masculino,Vitória,ES,268202.31,Executivo,Dodge,Challenger SRT Hellcat,2024,717,6.2,Muscle Car,608230.24,Maya Mendonça,3.07,2023,8,2023-08,2023Q3
99,276,15,4,2024-09-13,1233590.48,13.23,À vista,1,1233590.48,Concluída,Dra. Maria Luísa Caldeira,38,Masculino,Rio de Janeiro,RJ,983660.14,Executivo,McLaren,720S,2023,720,4.0,Superesportivo,1421678.55,Ana Luiza Caldeira,4.81,2024,9,2024-09,2024Q3
100,1043,28,12,2023-09-17,546818.93,5.74,Financiamento,12,134801.1,Concluída,Thomas Viana,53,Masculino,São Paulo,SP,412985.24,Engenheiro,BMW,M3 Competition,2022,510,3.0,Esportivo,580117.69,Sra. Letícia Brito,4.15,2023,9,2023-09,2023Q3
101,668,21,1,2024-02-15,476773.69,1.87,Financiamento,12,162803.43,Concluída,Srta. Mariane Costa,33,Feminino,Porto Alegre,RS,327369.88,Professor Universitário,Chevrolet,Corvette C8,2023,495,6.2,Esportivo,485859.26,Allana Ferreira,3.95,2024,2,2024-02,2024Q1
102,1337,31,10,2023-12-17,812366.18,10.53,Financiamento,60,237097.92,Concluída,Ester Borges,33,Masculino,Salvador,BA,644117.86,Promotor,BMW,M8 Competition,2022,625,4.4,Gran Turismo,907976.06,Manuela Barros,4.09,2023,12,2023-12,2023Q4
103,644,37,12,2024-05-24,607593.62,1.66,Financiamento,12,170598.57,Concluída,Davi Mendonça,35,Masculino,Salvador,BA,1152051.06,Promotor,Audi,RS5,2025,450,2.9,Esportivo,617849.93,Sra. Letícia Brito,4.15,2024,5,2024-05,2024Q2
104,1001,14,13,2024-08-17,662386.63,5.26,Financiamento,12,136264.75,Concluída,Rebeca Albuquerque,34,Masculino,Fortaleza,CE,472807.55,Engenheiro,Porsche,Taycan,2023,560,0.0,Esportivo Elétrico,699162.58,Paulo da Mota,4.99,2024,8,2024-08,2024Q3
105,1511,6,7,2023-06-10,915055.52,14.49,Leasing,36,91505.55,Concluída,Sr. Gustavo Henrique Teixeira,39,Feminino,Rio de Janeiro,RJ,1414746.92,Engenheiro,Lamborghini,Huracán,2022,640,5.2,Superesportivo,1070115.22,Cecilia Borges,3.35,2023,6,2023-06,2023Q2
