cliente_id,nome,idade,renda_anual,total_compras,valor_total_gasto,cluster,cluster_nome
33,Gael Henrique Casa Grande,46,698790.4,0,0.0,3,🆕 Novos/Inativos
34,Isabelly Casa Grande,37,1361196.28,2,2404891.23,1,🌟 Alto Valor
35,Ravi Rios,51,978637.63,0,0.0,3,🆕 Novos/Inativos
36,Isabella da Mota,53,1077569.91,0,0.0,0,💎 VIP Premium
37,Daniela Santos,40,1418070.81,0,0.0,0,💎 VIP Premium
38,Srta. Maria Helena Mendes,50,634482.78,0,0.0,0,💎 VIP Premium
39,Ana Gomes,33,398973.7,0,0.0,0,💎 VIP Premium
40,Mariane Carvalho,47,1708460.59,3,10522989.360000001,2,📈 Em Crescimento
41,Bruno Melo,33,234155.24,0,0.0,3,🆕 Novos/Inativos
42,Isaque Cardoso,30,281409.63,1,366271.7,3,🆕 Novos/Inativos
43,Cauê Pacheco,29,422531.73,1,513049.4,3,🆕 Novos/Inativos
44,Luiz Felipe Nascimento,45,365575.59,2,1358024.7999999998,1,🌟 Alto Valor
45,Srta. Maya Cavalcanti,41,1006903.95,1,3359724.7199999997,1,🌟 Alto Valor
46,Maria Helena Fernandes,31,176177.45,0,0.0,3,🆕 Novos/Inativos
47,Valentim Correia,50,320490.14,0,0.0,3,🆕 Novos/Inativos
48,Isabelly das Neves,46,1201412.29,1,2236340.96,1,🌟 Alto Valor
49,Gael Dias,37,453932.84,0,0.0,0,💎 VIP Premium
50,Gael da Rocha,37,449301.02,0,0.0,3,🆕 Novos/Inativos
51,Rebeca Caldeira,50,1073677.52,2,1413608.3399999999,1,🌟 Alto Valor
52,Rebeca Barbosa,51,562118.54,0,0.0,3,🆕 Novos/Inativos
53,Vicente Garcia,48,1595204.34,0,0.0,3,🆕 Novos/Inativos
54,Bruno Castro,37,1474207.53,2,5855462.0600000005,1,🌟 Alto Valor
55,João Miguel Sampaio,45,1178746.72,1,785366.25,1,🌟 Alto Valor
56,Brayan Araújo,59,718454.54,1,2097211.8,1,🌟 Alto Valor
57,Ágatha Monteiro,47,635970.17,1,596992.43,1,🌟 Alto Valor
58,João Felipe Oliveira,39,971054.48,0,0.0,0,💎 VIP Premium
59,Dr. Lucas Gabriel Duarte,37,793660.06,0,0.0,3,🆕 Novos/Inativos
60,Sr. Nathan Moraes,31,378933.91,1,2617504.16,1,🌟 Alto Valor
61,João Felipe Novaes,49,324622.37,0,0.0,3,🆕 Novos/Inativos
62,Maria Luísa Borges,46,749843.54,2,4521141.0600000005,1,🌟 Alto Valor
63,Clara Gomes,44,1706294.64,2,7585108.24,2,📈 Em Crescimento
64,Rebeca Cassiano,31,387129.93,0,0.0,3,🆕 Novos/Inativos
65,Isabel Vasconcelos,61,597991.66,0,0.0,0,💎 VIP Premium
66,Sr. Pedro Lucas Brito,27,297472.48,0,0.0,0,💎 VIP Premium
67,Dr. Liam Pires,27,135721.87,0,0.0,3,🆕 Novos/Inativos
68,Kaique Alves,53,1211666.71,0,0.0,3,🆕 Novos/Inativos
69,Erick Barros,32,651687.16,0,0.0,3,🆕 Novos/Inativos
70,Laura Rocha,51,443786.06,0,0.0,3,🆕 Novos/Inativos
71,Bianca da Costa,40,1094585.29,2,4967965.9,1,🌟 Alto Valor
72,Sra. Laura Vasconcelos,34,531790.61,0,0.0,0,💎 VIP Premium
73,Maria Clara Siqueira,35,1488668.61,2,5478040.62,1,🌟 Alto Valor
74,José Miguel Mendes,40,1083061.26,0,0.0,3,🆕 Novos/Inativos
75,Camila Marques,36,958533.83,3,12312948.520000001,2,📈 Em Crescimento
76,Benício Porto,37,1689817.77,0,0.0,3,🆕 Novos/Inativos
77,Vitor Gabriel Carvalho,29,176567.99,0,0.0,3,🆕 Novos/Inativos
78,Arthur Gabriel Sales,31,400320.03,0,0.0,3,🆕 Novos/Inativos
79,Rafael Borges,43,499266.59,0,0.0,0,💎 VIP Premium
80,Lucas Vasconcelos,61,1040620.77,1,3676174.76,1,🌟 Alto Valor
81,Lorenzo Almeida,42,493552.19,0,0.0,0,💎 VIP Premium
82,Rael Montenegro,59,658872.04,4,19941002.459999993,2,📈 Em Crescimento
83,Melina Barbosa,44,477119.8,1,696296.01,1,🌟 Alto Valor
84,Rafael Montenegro,41,650806.6,0,0.0,3,🆕 Novos/Inativos
85,Maria Vitória Siqueira,48,475451.63,0,0.0,3,🆕 Novos/Inativos
86,Marcelo Cardoso,32,346942.03,0,0.0,0,💎 VIP Premium
87,Thiago Cunha,29,215422.31,0,0.0,3,🆕 Novos/Inativos
88,Amanda Pereira,38,1010530.83,1,2124360.33,1,🌟 Alto Valor
89,Arthur Borges,46,1255557.95,0,0.0,3,🆕 Novos/Inativos
90,Emanuel Sá,45,851344.67,0,0.0,3,🆕 Novos/Inativos
91,Luiz Felipe Lopes,50,358250.51,0,0.0,0,💎 VIP Premium
92,Davi Miguel Teixeira,32,174127.83,1,1470016.58,1,🌟 Alto Valor
93,Maria Barbosa,54,983515.11,2,1796879.28,1,🌟 Alto Valor
94,Danilo Guerra,33,228510.65,0,0.0,3,🆕 Novos/Inativos
95,Anna Liz Gonçalves,40,454187.3,0,0.0,3,🆕 Novos/Inativos
96,Cauã Casa Grande,57,704952.24,0,0.0,3,🆕 Novos/Inativos
97,Dr. Dom Macedo,59,579624.14,1,1734553.9,1,🌟 Alto Valor
98,Ana Carolina Araújo,34,278330.64,0,0.0,3,🆕 Novos/Inativos
99,Esther Duarte,40,1340399.9,0,0.0,0,💎 VIP Premium
100,Valentina Moreira,46,407920.19,0,0.0,3,🆕 Novos/Inativos
101,Maria Isis da Paz,31,396831.65,0,0.0,0,💎 VIP Premium
102,Luísa Cardoso,40,1453661.84,0,0.0,3,🆕 Novos/Inativos
103,Davi Miguel Cassiano,42,1679810.2,1,4207457.67,1,🌟 Alto Valor
104,Fernando Sales,31,220513.47,0,0.0,3,🆕 Novos/Inativos
105,Ravy Correia,56,387532.98,1,1475858.76,1,🌟 Alto Valor
106,Rafaela Freitas,42,739469.61,1,575418.74,1,🌟 Alto Valor
107,Rael Ferreira,42,652896.58,1,1683055.48,1,🌟 Alto Valor
108,Lucas Gabriel Vieira,45,746291.64,2,5491130.76,1,🌟 Alto Valor
109,Dom Novaes,27,243253.84,0,0.0,3,🆕 Novos/Inativos
110,Theo Peixoto,28,195466.59,0,0.0,0,💎 VIP Premium
111,Ester Rios,30,390597.14,0,0.0,0,💎 VIP Premium
112,Maria Julia Freitas,32,470869.87,0,0.0,3,🆕 Novos/Inativos
113,Emanuella Vasconcelos,29,299839.21,0,0.0,3,🆕 Novos/Inativos
114,Levi das Neves,26,144475.42,0,0.0,0,💎 VIP Premium
115,Maria Liz Souza,29,253544.73,0,0.0,0,💎 VIP Premium
116,Emilly Nogueira,34,563502.98,1,1794776.72,1,🌟 Alto Valor
117,Luiz Gustavo Pimenta,48,1113002.23,1,1173204.77,1,🌟 Alto Valor
118,Davi Lucas Azevedo,59,887491.49,0,0.0,3,🆕 Novos/Inativos
119,Davi Miguel Moura,63,625878.21,0,0.0,3,🆕 Novos/Inativos
120,Pietro Cunha,41,660949.09,1,805620.95,1,🌟 Alto Valor
121,Lavínia da Rosa,52,1292439.66,4,17579947.9,2,📈 Em Crescimento
122,Maria Eduarda Martins,60,995758.91,1,2777834.94,1,🌟 Alto Valor
123,Ana Sophia Machado,44,1013230.97,4,7803197.279999998,2,📈 Em Crescimento
124,Daniela da Rosa,47,657706.17,0,0.0,3,🆕 Novos/Inativos
125,Kevin Pimenta,27,357745.71,0,0.0,3,🆕 Novos/Inativos
126,Bruno Aparecida,27,386266.46,1,761461.42,3,🆕 Novos/Inativos
127,Ana Sophia Sales,43,1050732.86,1,4150550.2,1,🌟 Alto Valor
128,Caroline Teixeira,42,1243622.43,0,0.0,3,🆕 Novos/Inativos
129,Matheus Pimenta,36,1061394.56,0,0.0,3,🆕 Novos/Inativos
130,Theo Almeida,59,1179144.71,0,0.0,3,🆕 Novos/Inativos
131,Olivia da Paz,36,847244.9,0,0.0,3,🆕 Novos/Inativos
132,Luiz Miguel Novaes,40,1146163.62,0,0.0,3,🆕 Novos/Inativos
133,Dr. Diego Costa,43,1344155.26,2,5080228.500000001,1,🌟 Alto Valor
134,Luan Pimenta,58,336736.2,0,0.0,0,💎 VIP Premium
135,Allana Freitas,47,1277750.05,1,905504.28,1,🌟 Alto Valor
136,Eloá Moura,49,1095306.95,1,1803699.78,1,🌟 Alto Valor
137,Gabrielly Jesus,50,990931.1,1,1830301.22,1,🌟 Alto Valor
138,Raul Nascimento,63,343055.82,0,0.0,3,🆕 Novos/Inativos
139,Srta. Rebeca Dias,32,233040.9,1,771150.22,3,🆕 Novos/Inativos
140,Asafe da Paz,43,1072726.16,0,0.0,3,🆕 Novos/Inativos
141,Isaque da Cruz,48,747567.4,1,1071548.83,0,💎 VIP Premium
142,Eduarda Jesus,40,532718.44,1,883657.84,1,🌟 Alto Valor
143,Oliver Cavalcanti,57,1383584.07,2,4597251.78,1,🌟 Alto Valor
144,Ísis Moura,48,664529.86,0,0.0,0,💎 VIP Premium
145,Sra. Laís Nunes,55,386350.72,0,0.0,0,💎 VIP Premium
146,Luna da Cruz,40,838249.36,0,0.0,0,💎 VIP Premium
147,Srta. Ana Liz Rios,33,332050.38,0,0.0,0,💎 VIP Premium
148,Rhavi Cassiano,30,344505.73,0,0.0,3,🆕 Novos/Inativos
149,Vitória Santos,30,478475.6,0,0.0,3,🆕 Novos/Inativos
150,Bruna Rodrigues,49,676559.46,0,0.0,3,🆕 Novos/Inativos
151,Nicole Rocha,34,299671.25,1,507835.03,3,🆕 Novos/Inativos
152,Ravy Andrade,41,1512810.41,2,3941111.92,1,🌟 Alto Valor
153,Marcela Campos,41,974053.32,1,1723701.76,1,🌟 Alto Valor
154,Heloísa da Cruz,47,2170294.96,3,6570286.76,2,📈 Em Crescimento
155,Arthur Gabriel Machado,35,828017.33,1,1239220.32,1,🌟 Alto Valor
156,Dra. Luiza Oliveira,51,720624.99,0,0.0,0,💎 VIP Premium
157,Mariane Novais,50,353776.17,0,0.0,3,🆕 Novos/Inativos
158,Olívia da Costa,57,1072606.74,1,1350944.66,1,🌟 Alto Valor
159,José Miguel Costela,61,854970.3,1,6180824.1899999995,1,🌟 Alto Valor
160,Henrique Mendes,48,1502407.0,1,954343.7,0,💎 VIP Premium
161,Luna Vasconcelos,46,774344.85,1,1822181.12,1,🌟 Alto Valor
162,Sr. Léo Dias,57,303495.66,0,0.0,0,💎 VIP Premium
163,Lucas da Conceição,42,415858.01,0,0.0,3,🆕 Novos/Inativos
164,Yago Mendonça,27,350087.96,0,0.0,0,💎 VIP Premium
165,Srta. Alexia Cunha,33,471771.03,0,0.0,3,🆕 Novos/Inativos
166,Antony Moura,37,290568.07,0,0.0,3,🆕 Novos/Inativos
167,Isis Fogaça,34,201840.55,0,0.0,0,💎 VIP Premium
168,Maria Flor Novaes,37,1574789.33,3,7077470.129999999,2,📈 Em Crescimento
169,Heitor Sales,37,1252955.2,1,1793979.1,1,🌟 Alto Valor
170,Miguel Barbosa,51,835093.0,0,0.0,3,🆕 Novos/Inativos
171,Pedro Henrique da Conceição,37,949434.35,2,4829840.25,1,🌟 Alto Valor
172,Mateus Barros,37,1307805.87,2,3847986.58,1,🌟 Alto Valor
173,Pedro Miguel Fonseca,40,1334934.55,4,21109299.29999999,2,📈 Em Crescimento
174,Sr. Luan Gomes,61,881037.51,2,1922949.58,1,🌟 Alto Valor
175,Kevin da Mata,41,1287608.42,1,1349746.24,1,🌟 Alto Valor
176,Dra. Sabrina Peixoto,43,841031.51,2,10204210.679999998,2,📈 Em Crescimento
177,Catarina da Rosa,34,424175.34,1,723071.16,3,🆕 Novos/Inativos
178,Maria Clara Camargo,27,547020.98,0,0.0,3,🆕 Novos/Inativos
179,Kevin da Costa,36,1426225.03,1,2677309.41,1,🌟 Alto Valor
180,Luiz Miguel Sampaio,36,452533.12,1,2027012.16,1,🌟 Alto Valor
181,Carlos Eduardo da Luz,43,1266896.93,1,1802599.46,1,🌟 Alto Valor
182,Dra. Clarice Ferreira,45,307448.44,0,0.0,3,🆕 Novos/Inativos
183,Rafaela Ferreira,36,712544.09,0,0.0,0,💎 VIP Premium
184,Eloah Sousa,27,358907.95,0,0.0,0,💎 VIP Premium
185,Marina Gonçalves,39,1638839.66,5,20481332.150000006,2,📈 Em Crescimento
186,Bella Nascimento,30,544159.97,0,0.0,0,💎 VIP Premium
187,Bruna Ferreira,31,287209.46,0,0.0,3,🆕 Novos/Inativos
188,Fernando Freitas,50,646884.43,0,0.0,3,🆕 Novos/Inativos
189,Dra. Emanuella Novais,48,1482808.72,0,0.0,0,💎 VIP Premium
190,Matheus Novais,58,1128594.34,0,0.0,3,🆕 Novos/Inativos
191,João Guilherme Câmara,35,315261.45,1,2765605.2,1,🌟 Alto Valor
192,Ana Cecília Teixeira,50,413935.21,0,0.0,3,🆕 Novos/Inativos
193,Isaac Costela,43,912573.19,1,7302478.44,1,🌟 Alto Valor
194,Lorenzo Santos,53,544073.56,0,0.0,0,💎 VIP Premium
195,Sra. Isadora Teixeira,35,1706452.37,2,3294510.0999999996,1,🌟 Alto Valor
196,Sra. Mirella Mendonça,48,541393.72,0,0.0,0,💎 VIP Premium
197,Dr. Lucca Novaes,58,607275.81,1,5091944.5,1,🌟 Alto Valor
198,Paulo Costa,34,260941.23,0,0.0,0,💎 VIP Premium
199,Dra. Isabel Lima,47,512668.78,1,2202323.48,1,🌟 Alto Valor
200,Luigi Campos,28,205370.65,0,0.0,0,💎 VIP Premium
201,Mateus Vasconcelos,41,680695.56,2,3086641.7699999996,1,🌟 Alto Valor
202,Melina Cunha,44,1227187.98,0,0.0,0,💎 VIP Premium
203,Antonella da Cruz,53,679662.52,1,1141369.06,1,🌟 Alto Valor
204,Brenda da Costa,47,410254.31,0,0.0,3,🆕 Novos/Inativos
205,Emanuella Teixeira,50,891012.26,1,2834480.96,1,🌟 Alto Valor
206,Laura Pires,39,1689462.91,2,7189083.179999999,2,📈 Em Crescimento
207,Gabrielly Cassiano,27,152898.26,0,0.0,0,💎 VIP Premium
208,Ana Laura das Neves,60,297279.3,1,1204560.22,1,🌟 Alto Valor
209,Sr. João Felipe Siqueira,35,1268151.15,2,5119112.370000001,1,🌟 Alto Valor
210,Maria Cecília Araújo,28,263427.26,0,0.0,0,💎 VIP Premium
211,Joaquim Aparecida,53,309307.41,0,0.0,3,🆕 Novos/Inativos
212,Breno Oliveira,60,418545.1,0,0.0,3,🆕 Novos/Inativos
213,Yuri Marques,50,360472.8,0,0.0,0,💎 VIP Premium
214,Yago Teixeira,42,653252.64,1,3266822.76,1,🌟 Alto Valor
215,Gustavo Moura,27,418192.72,1,768561.3,1,🌟 Alto Valor
216,Srta. Aylla Montenegro,44,1248771.96,1,1470648.16,1,🌟 Alto Valor
217,Lunna Dias,51,843069.8,3,9514251.84,2,📈 Em Crescimento
218,Dr. Dante Nascimento,34,613680.95,2,2239199.02,1,🌟 Alto Valor
219,Caleb Silva,37,587193.05,0,0.0,3,🆕 Novos/Inativos
220,Calebe Martins,46,681365.6,0,0.0,3,🆕 Novos/Inativos
221,Joana Barbosa,38,723131.13,0,0.0,3,🆕 Novos/Inativos
222,Marina Silveira,56,335394.07,0,0.0,3,🆕 Novos/Inativos
223,Joaquim Ramos,45,416554.45,1,2259473.64,1,🌟 Alto Valor
224,Ísis Vieira,49,2049239.29,2,1822406.6199999999,1,🌟 Alto Valor
225,Liam Peixoto,60,432676.72,1,347633.8,3,🆕 Novos/Inativos
226,Isabella da Mata,46,1579897.26,0,0.0,3,🆕 Novos/Inativos
227,Luiz Gustavo Nunes,60,724156.99,0,0.0,0,💎 VIP Premium
228,Vinicius Mendes,34,387008.75,0,0.0,3,🆕 Novos/Inativos
229,Maria Clara Barbosa,44,808247.14,0,0.0,0,💎 VIP Premium
230,Dra. Maria Alice Câmara,43,869614.55,1,1218400.06,1,🌟 Alto Valor
231,Luiza Pimenta,51,709224.09,0,0.0,3,🆕 Novos/Inativos
232,João Costela,39,834600.2,6,38101528.800000004,2,📈 Em Crescimento
233,Marcela Nogueira,55,657454.77,2,3145951.86,1,🌟 Alto Valor
234,Brayan Fernandes,30,531868.51,2,3043799.8800000004,1,🌟 Alto Valor
235,Eloah Pereira,46,588941.17,3,10961607.25,2,📈 Em Crescimento
236,Calebe Aragão,39,548393.23,0,0.0,0,💎 VIP Premium
237,Calebe Alves,50,823051.1,0,0.0,3,🆕 Novos/Inativos
238,Ísis Gomes,55,902158.48,1,2113988.54,1,🌟 Alto Valor
239,Ana Liz Cassiano,34,207316.51,0,0.0,0,💎 VIP Premium
240,Olívia Oliveira,41,1857179.33,1,2051082.2999999998,1,🌟 Alto Valor
241,Emanuella Cavalcante,51,1051692.12,1,3878334.72,1,🌟 Alto Valor
242,Mathias Novais,51,214690.04,0,0.0,3,🆕 Novos/Inativos
243,Diogo Nunes,46,1718460.75,1,1292724.28,1,🌟 Alto Valor
244,Erick da Mota,61,1060058.62,3,10258014.72,2,📈 Em Crescimento
245,Lucca Vieira,43,779898.98,1,1780647.96,1,🌟 Alto Valor
246,Aurora Correia,29,452090.9,0,0.0,3,🆕 Novos/Inativos
247,Catarina Vasconcelos,33,202343.35,0,0.0,3,🆕 Novos/Inativos
248,Sofia Gonçalves,48,942519.57,0,0.0,0,💎 VIP Premium
249,Sr. José Pedro Souza,28,384049.68,1,636068.43,3,🆕 Novos/Inativos
250,Alícia Vasconcelos,33,404511.58,0,0.0,3,🆕 Novos/Inativos
251,Marcela Marques,31,460024.49,1,1276972.84,1,🌟 Alto Valor
252,Larissa da Rosa,55,255225.14,0,0.0,0,💎 VIP Premium
253,Nathan Ribeiro,51,327416.6,1,377869.32,3,🆕 Novos/Inativos
254,Dra. Hellena Rodrigues,49,2176887.36,2,7193496.640000001,2,📈 Em Crescimento
255,Dra. Emilly Rodrigues,28,407291.18,0,0.0,3,🆕 Novos/Inativos
256,Ana Júlia Porto,56,382662.1,1,572842.2,1,🌟 Alto Valor
257,Dr. Raul Casa Grande,44,1402393.06,3,2991246.68,1,🌟 Alto Valor
258,Samuel Viana,30,353220.11,0,0.0,3,🆕 Novos/Inativos
259,Sra. Alice Duarte,45,1570181.89,2,5960218.300000001,1,🌟 Alto Valor
260,Enzo Azevedo,52,818828.58,1,3786316.52,1,🌟 Alto Valor
261,Enzo Guerra,43,593679.57,1,3375087.8,1,🌟 Alto Valor
262,Jade Vargas,38,1245443.95,4,20563544.160000004,2,📈 Em Crescimento
263,Renan Sampaio,37,1616723.61,5,22956837.96,2,📈 Em Crescimento
264,Bella Moraes,40,1750068.6,1,1310510.34,1,🌟 Alto Valor
265,Enrico Aparecida,35,1797768.92,3,4823992.88,2,📈 Em Crescimento
266,Thomas Barbosa,33,534060.24,0,0.0,3,🆕 Novos/Inativos
267,Luara Lima,35,1356842.48,2,5585125.699999999,1,🌟 Alto Valor
268,Sr. Danilo Guerra,57,1116092.77,2,2398059.48,1,🌟 Alto Valor
269,Rafaela Nunes,38,1248505.85,3,13383725.959999999,2,📈 Em Crescimento
270,Benício da Luz,59,342099.75,0,0.0,0,💎 VIP Premium
271,Isadora Mendes,44,1300530.79,0,0.0,3,🆕 Novos/Inativos
272,Sr. Lucas da Mota,40,1086959.25,0,0.0,3,🆕 Novos/Inativos
273,Melissa Dias,38,1373772.06,2,2812352.93,1,🌟 Alto Valor
274,Liz Moraes,48,1354549.77,1,561092.4,0,💎 VIP Premium
275,Sra. Bruna Brito,49,952176.95,0,0.0,3,🆕 Novos/Inativos
276,Dra. Maria Luísa Caldeira,38,983660.14,2,7226090.880000001,2,📈 Em Crescimento
277,Natália Ribeiro,37,1193056.94,0,0.0,3,🆕 Novos/Inativos
278,Srta. Bella Gomes,60,757399.95,0,0.0,3,🆕 Novos/Inativos
279,Sophie da Rosa,39,1826290.58,1,930484.43,0,💎 VIP Premium
280,Pietra Pacheco,41,894064.63,1,2724220.44,1,🌟 Alto Valor
281,Ana Laura Costa,30,382206.3,2,1611743.01,1,🌟 Alto Valor
282,Heloisa Souza,42,1335122.24,2,10344871.3,2,📈 Em Crescimento
283,Sra. Gabriela Pinto,27,247270.23,0,0.0,3,🆕 Novos/Inativos
284,Ana Vitória Cirino,44,793925.14,0,0.0,0,💎 VIP Premium
285,Lucas Martins,54,557143.32,1,933224.87,0,💎 VIP Premium
286,Liam Moura,33,345987.88,0,0.0,3,🆕 Novos/Inativos
287,Lucas Farias,48,1581771.4,1,1022281.07,1,🌟 Alto Valor
288,Asafe Rodrigues,35,1713706.48,0,0.0,3,🆕 Novos/Inativos
289,Juan Rezende,32,350815.52,0,0.0,3,🆕 Novos/Inativos
290,Gustavo Nascimento,35,1184019.74,1,1769176.41,1,🌟 Alto Valor
291,Brayan Oliveira,39,871910.69,1,2755079.82,1,🌟 Alto Valor
292,Ana Luiza Sá,34,650826.98,0,0.0,0,💎 VIP Premium
293,Ana Melo,35,412645.99,1,582610.79,3,🆕 Novos/Inativos
294,Davi Aparecida,46,896982.91,0,0.0,3,🆕 Novos/Inativos
295,Francisco Câmara,37,1146088.87,0,0.0,3,🆕 Novos/Inativos
296,Carlos Eduardo Costa,38,1522342.83,0,0.0,3,🆕 Novos/Inativos
297,Dr. Eduardo Nunes,32,287488.71,0,0.0,3,🆕 Novos/Inativos
298,Melissa Fogaça,45,1376389.38,2,7523067.72,2,📈 Em Crescimento
299,Srta. Allana Montenegro,48,318597.07,1,1119914.02,1,🌟 Alto Valor
300,Heloisa Vargas,32,362491.91,0,0.0,3,🆕 Novos/Inativos
301,Pietro Castro,28,405855.1,2,2396441.58,1,🌟 Alto Valor
302,Asafe Rios,40,454793.42,0,0.0,3,🆕 Novos/Inativos
303,Sra. Ísis Nunes,41,677661.33,1,1084898.64,1,🌟 Alto Valor
304,Dr. Ryan Vieira,50,616049.82,1,1756577.1,1,🌟 Alto Valor
305,Emanuel Fonseca,37,1312057.81,0,0.0,3,🆕 Novos/Inativos
306,Joaquim Aparecida,54,709525.97,2,4450823.97,1,🌟 Alto Valor
307,Allana Silveira,45,1173850.71,1,3273036.0,1,🌟 Alto Valor
308,Sophia da Luz,39,636641.88,0,0.0,0,💎 VIP Premium
309,Vicente Montenegro,32,288771.98,0,0.0,3,🆕 Novos/Inativos
310,Caroline Pereira,27,572946.83,2,4513959.66,1,🌟 Alto Valor
311,Beatriz Lima,29,416148.48,1,2683549.72,1,🌟 Alto Valor
312,Stephany Campos,30,466294.09,0,0.0,3,🆕 Novos/Inativos
313,Mariana Nunes,35,1425733.6,2,8638556.26,2,📈 Em Crescimento
314,Luiz Felipe Vasconcelos,43,419540.7,0,0.0,3,🆕 Novos/Inativos
315,Ana Júlia Castro,40,1660653.61,3,3388563.43,1,🌟 Alto Valor
316,Arthur Miguel Silveira,50,1038173.98,1,1649473.58,1,🌟 Alto Valor
317,Stella da Paz,44,1353517.63,1,2505184.92,1,🌟 Alto Valor
318,Caio da Mota,40,1923614.21,2,2485596.3000000003,1,🌟 Alto Valor
319,Dra. Marcela Ferreira,38,862224.21,1,855585.84,0,💎 VIP Premium
320,Theodoro da Rocha,51,433707.28,0,0.0,3,🆕 Novos/Inativos
321,Natália Pastor,44,1011019.41,1,2105498.07,1,🌟 Alto Valor
322,João da Cruz,49,1169833.87,1,1350086.72,1,🌟 Alto Valor
323,Dra. Esther Monteiro,39,640715.97,0,0.0,0,💎 VIP Premium
324,Bruno Rocha,42,618190.15,0,0.0,3,🆕 Novos/Inativos
325,Thomas da Mota,50,358556.79,1,1098220.52,1,🌟 Alto Valor
326,Emanuella Marques,37,605814.43,0,0.0,3,🆕 Novos/Inativos
327,Joana Cirino,64,1326660.0,0,0.0,0,💎 VIP Premium
328,Lara Machado,37,602603.94,0,0.0,0,💎 VIP Premium
329,Srta. Olívia Albuquerque,47,1499648.82,0,0.0,3,🆕 Novos/Inativos
330,Beatriz Sales,33,328955.5,0,0.0,3,🆕 Novos/Inativos
331,Luiz Felipe Almeida,33,204072.46,1,1493385.26,1,🌟 Alto Valor
332,Dr. Pietro Barros,43,1456878.68,1,1396377.7,1,🌟 Alto Valor
333,Luigi da Conceição,37,856100.94,1,1427728.86,0,💎 VIP Premium
334,Antônio Cardoso,34,257458.0,0,0.0,3,🆕 Novos/Inativos
335,Apollo Vargas,41,959182.35,0,0.0,3,🆕 Novos/Inativos
336,Sra. Melina Pires,42,1833641.04,3,9479399.16,2,📈 Em Crescimento
337,Catarina Sampaio,37,1587134.75,1,2296179.86,1,🌟 Alto Valor
338,Caio Macedo,29,363430.09,0,0.0,3,🆕 Novos/Inativos
339,Samuel Sá,43,1591417.57,0,0.0,3,🆕 Novos/Inativos
340,Maria Laura da Cruz,46,718097.59,0,0.0,0,💎 VIP Premium
341,Noah Correia,46,544947.54,0,0.0,3,🆕 Novos/Inativos
342,Dom Aragão,38,1049260.35,1,1226555.68,1,🌟 Alto Valor
343,Luigi Leão,37,867952.51,0,0.0,3,🆕 Novos/Inativos
344,Emilly Correia,40,1110243.72,2,2125005.73,1,🌟 Alto Valor
345,Giovanna Melo,65,612799.22,1,471477.83,1,🌟 Alto Valor
